Wall time,Step,Value
1756829375.5059528,5537792,549.9578247070312
1756829382.7533484,5545984,546.608642578125
1756829390.0409799,5554176,554.3245239257812
1756829411.7248192,5578752,545.8402099609375
1756829426.1467116,5595136,540.4122314453125
1756829433.4509368,5603328,541.0694580078125
1756829440.6996531,5611520,547.2168579101562
1756829447.9797478,5619712,542.6959228515625
1756829462.5230587,5636096,533.236083984375
1756829498.6205883,5677056,563.6201782226562
1756829505.756491,5685248,560.2716674804688
1756829512.9503744,5693440,552.5916137695312
1756829520.0668323,5701632,547.0510864257812
1756829527.248213,5709824,555.006103515625
1756829534.4625793,5718016,549.2623901367188
1756829548.8090487,5734400,550.8081665039062
1756829570.5347357,5758976,562.9924926757812
1756829577.7405748,5767168,560.0037841796875
1756829592.10265,5783552,560.7691040039062
1756829621.000336,5816320,566.48486328125
1756829628.1829057,5824512,571.3563232421875
1756829642.7601726,5840896,567.4502563476562
1756829664.5322518,5865472,559.9124755859375
1756829678.9457662,5881856,573.2772827148438
1756829693.1578097,5898240,573.14404296875
1756829700.3580067,5906432,560.86376953125
1756829707.459528,5914624,556.4296264648438
1756829721.8774407,5931008,566.067138671875
1756829736.3703277,5947392,569.291259765625
1756829743.5153186,5955584,557.7622680664062
1756829750.7104301,5963776,559.2492065429688
1756829757.8773634,5971968,554.1679077148438
1756829765.0189784,5980160,562.8009033203125
1756829779.421282,5996544,570.0848388671875
1756829786.6593056,6004736,565.1176147460938
1756829793.8757734,6012928,565.2182006835938
1756829829.857079,6053888,573.357421875
1756829837.058332,6062080,585.2820434570312
1756829844.200128,6070272,585.4616088867188
1756829858.536198,6086656,570.4483642578125
1756829865.6785338,6094848,554.7767944335938
1756829872.7549489,6103040,548.8132934570312
1756829879.9219007,6111232,554.769287109375
1756829930.1577587,6168576,587.3363647460938
1756829951.450852,6193152,586.1688232421875
1756829958.6279607,6201344,586.7737426757812
1756829973.0022056,6217728,585.8770141601562
1756830008.9955397,6258688,586.43310546875
1756830016.1864939,6266880,587.502685546875
1756830023.3972626,6275072,590.7758178710938
1756830037.7704844,6291456,581.9605712890625
1756830044.9390285,6299648,584.3804321289062
1756830052.0607224,6307840,580.1778564453125
1756830066.4457073,6324224,579.5715942382812
1756830073.6464608,6332416,579.7346801757812
1756830080.8873684,6340608,584.6394653320312
1756830095.3395545,6356992,594.52978515625
