Failed attempts: 248
Total attempts: 280
Success rate: 0.11428571428571428
Max speed: 1.0212091448766114
Demo cases: 
        Speed      Angle  Distance Success      Reward
220  1.600000  11.794872         0   False  -24.650364
221  2.066667  11.794872         0   False  -19.288013
222  2.533333  11.794872         0   False  -19.490972
223  3.000000  11.794872         0   False  -15.331298
224  0.200000  12.820513         0   False  -13.593809
225  0.666667  12.820513         0   False   -9.916428
226  1.133333  12.820513         0   False  -19.387040
227  1.600000  12.820513         0   False  -19.710640
228  2.066667  12.820513         0   False  -17.823428
229  2.533333  12.820513         0   False  -18.129358
230  3.000000  12.820513         0   False  -16.574194
231  0.200000  13.846154         0   False  -13.871512
232  0.666667  13.846154         0   False  -16.536281
233  1.133333  13.846154         0   False  -16.299615
234  1.600000  13.846154         0   False  -22.110074
235  2.066667  13.846154         0   False  -15.381064
236  2.533333  13.846154         0   False  -16.778054
237  3.000000  13.846154         0   False  -17.298365
238  0.200000  14.871795         0   False  -11.530448
239  0.666667  14.871795         0   False  -19.212179
240  1.133333  14.871795         0   False  -21.574432
241  1.600000  14.871795         0   False  -19.175447
242  2.066667  14.871795         0   False  -18.378942
243  2.533333  14.871795         0   False  -18.205545
244  3.000000  14.871795         0   False  -16.995553
245  0.200000  15.897436         0   False  -13.786776
246  0.666667  15.897436         0   False  -15.936115
247  1.133333  15.897436         0   False  -16.640415
248  1.600000  15.897436         0   False  -16.431270
249  2.066667  15.897436         0   False  -16.865841
250  2.533333  15.897436         0   False  -16.923508
251  3.000000  15.897436         0   False  -18.115906
252  0.200000  16.923077         0   False  -15.435219
253  0.666667  16.923077         0   False  -11.878543
254  1.133333  16.923077         0   False  -15.861620
255  1.600000  16.923077         0   False  -17.144391
256  2.066667  16.923077         0   False  -16.221646
257  2.533333  16.923077         0   False  -15.612832
258  3.000000  16.923077         0   False  -18.756191
259  0.200000  17.948718         0   False  -14.234719
260  0.666667  17.948718         0   False  -14.065016
261  1.133333  17.948718         0   False  -15.248768
262  1.600000  17.948718         0   False  -15.996187
263  2.066667  17.948718         0   False  -18.229436
264  2.533333  17.948718         0   False  -17.526867
265  3.000000  17.948718         0   False  -14.974526
266  0.200000  18.974359         0   False  -14.393061
