generator,test_idx,speed,r_leg,l_leg,mse,dtw,fft
cpg_matsuoka,525,0.885204331592847,0.7341349720954895,0.7153636813163757,0.06728873587324781,0.6157142977878635,2.153045136444096
fft_mlp_v2_baseline,525,0.885204331592847,0.7341349720954895,0.7153636813163757,0.019892328455476185,0.3313326162986325,0.9964944144256954
fft_mlp_v2_phase,525,0.885204331592847,0.7341349720954895,0.7153636813163757,0.0213238861569585,0.34351125554645523,1.0257654048541014
fft_mlp_v2_residual,525,0.885204331592847,0.7341349720954895,0.7153636813163757,0.010200996149696225,0.18494431237736958,0.5894747439647898
fft_mlp_v2_phase_residual,525,0.885204331592847,0.7341349720954895,0.7153636813163757,0.011905566904498233,0.2036640039877155,0.6618323622982613
fft_mlp_review,189,1.050571823120117,0.8966478109359741,0.8902934789657593,0.015093296964608623,0.26119737076585825,0.7240552133983459
fft_mlp,189,1.050571823120117,0.8966478109359741,0.8902934789657593,0.02721387795809821,0.3228077284185306,0.9331850464988826
raw_mocap,189,1.050571823120117,0.8966478109359741,0.8902934789657593,0.03276255208690188,0.2844042019839426,0.8333958398693989
cubic_spline,189,1.050571823120117,0.8966478109359741,0.8902934789657593,0.01371947837027872,0.19015451897115748,0.5534774810390529
cpg_matsuoka,189,1.050571823120117,0.8966478109359741,0.8902934789657593,0.06701768403781964,0.6220126262829092,2.1570066305781253
fft_mlp_v2_baseline,189,1.050571823120117,0.8966478109359741,0.8902934789657593,0.02134156474921235,0.3456432048510742,0.9989723399018612
fft_mlp_v2_phase,189,1.050571823120117,0.8966478109359741,0.8902934789657593,0.02329391644816367,0.35763561865321986,1.0236606163552084
fft_mlp_v2_residual,189,1.050571823120117,0.8966478109359741,0.8902934789657593,0.010507680087095956,0.18299920245341972,0.5260227477663223
fft_mlp_v2_phase_residual,189,1.050571823120117,0.8966478109359741,0.8902934789657593,0.015236435468178988,0.206524338446949,0.6005707389446195
fft_mlp_review,732,1.2044137034696691,0.8427228331565857,0.8473520874977112,0.017662453102302675,0.25407431148792087,0.7128208708370919
fft_mlp,732,1.2044137034696691,0.8427228331565857,0.8473520874977112,0.026644179098957988,0.3448044031029257,1.0298417055148217
raw_mocap,732,1.2044137034696691,0.8427228331565857,0.8473520874977112,0.006775211836981175,0.07910489319009753,0.2098407669748766
cubic_spline,732,1.2044137034696691,0.8427228331565857,0.8473520874977112,0.005671742137354008,0.13809203812883025,0.43374943962308654
cpg_matsuoka,732,1.2044137034696691,0.8427228331565857,0.8473520874977112,0.08304561763803665,0.67914940741982,2.530363199560773
fft_mlp_v2_baseline,732,1.2044137034696691,0.8427228331565857,0.8473520874977112,0.016675651335885153,0.2939642906841734,0.932037240650235
fft_mlp_v2_phase,732,1.2044137034696691,0.8427228331565857,0.8473520874977112,0.021079529188450297,0.3277558662350253,1.0040199608105536
fft_mlp_v2_residual,732,1.2044137034696691,0.8427228331565857,0.8473520874977112,0.004942350057963344,0.15834856498575728,0.4489450518242342
fft_mlp_v2_phase_residual,732,1.2044137034696691,0.8427228331565857,0.8473520874977112,0.007591441570957744,0.1684901929552783,0.48791465491797154
fft_mlp_review,5,0.40696708700333273,0.7312095761299133,0.7348682284355164,0.03648797178198688,0.438200285757846,1.148329592373436
fft_mlp,5,0.40696708700333273,0.7312095761299133,0.7348682284355164,0.025602507031870277,0.365734296749373,1.067918828056819
