generator,test_idx,speed,r_leg,l_leg,mse,dtw,fft
fft_mlp_review,1108,0.9406895055526341,0.8400225043296814,0.8331820368766785,0.014571515043222814,0.2554409131510291,0.7749072226966452
fft_mlp,1108,0.9406895055526341,0.8400225043296814,0.8331820368766785,0.011577508159967971,0.15580055360548664,0.4599282765572459
fft_mlp_old,1108,0.9406895055526341,0.8400225043296814,0.8331820368766785,0.013924757226469542,0.13133440881251734,0.38986794760982946
raw_mocap,1108,0.9406895055526341,0.8400225043296814,0.8331820368766785,0.009416964974687024,0.22029271304378373,0.7376939132783429
cubic_spline,1108,0.9406895055526341,0.8400225043296814,0.8331820368766785,0.007428179540521486,0.17336947905996303,0.6252780219921035
cpg_matsuoka,1108,0.9406895055526341,0.8400225043296814,0.8331820368766785,0.08205379797733883,0.6822786992900781,2.5378773157112846
fft_mlp_review,410,0.6237261264909199,0.8769042491912842,0.8849288821220398,0.038206398814964806,0.4079295904520249,0.8321999157854115
fft_mlp,410,0.6237261264909199,0.8769042491912842,0.8849288821220398,0.012110745355014734,0.11335108872161541,0.29754219789787434
fft_mlp_old,410,0.6237261264909199,0.8769042491912842,0.8849288821220398,0.0034617219644070933,0.06242599217978924,0.12893459065691557
raw_mocap,410,0.6237261264909199,0.8769042491912842,0.8849288821220398,0.012027229529260353,0.1588420434423137,0.42594496937717125
cubic_spline,410,0.6237261264909199,0.8769042491912842,0.8849288821220398,0.005525551876194145,0.09256054260991337,0.2906037582521902
cpg_matsuoka,410,0.6237261264909199,0.8769042491912842,0.8849288821220398,0.058400264544609594,0.5706673231483136,2.054521274204156
fft_mlp_review,689,1.6114760321539803,0.8344907760620117,0.8224448561668396,0.055179178753862634,0.41607529143561867,0.8490299247745258
fft_mlp,689,1.6114760321539803,0.8344907760620117,0.8224448561668396,0.036636708045505985,0.15867320477426,0.33908409759110586
fft_mlp_old,689,1.6114760321539803,0.8344907760620117,0.8224448561668396,0.03088775286440242,0.11268695337455954,0.24066613113096083
raw_mocap,689,1.6114760321539803,0.8344907760620117,0.8224448561668396,0.02459266721684375,0.14790310220842826,0.27586340968970396
cubic_spline,689,1.6114760321539803,0.8344907760620117,0.8224448561668396,0.025977017391418344,0.1481586368145164,0.31892156252882664
cpg_matsuoka,689,1.6114760321539803,0.8344907760620117,0.8224448561668396,0.10199381525003585,0.7604268804962357,2.7366268554846034
fft_mlp_review,177,0.26849372107703406,0.8966478109359741,0.8902934789657593,0.039966466600910994,0.4738092207917288,1.0797076716990885
fft_mlp,177,0.26849372107703406,0.8966478109359741,0.8902934789657593,0.05127551595235263,0.3819102460047183,0.9059207555769548
fft_mlp_old,177,0.26849372107703406,0.8966478109359741,0.8902934789657593,0.05232084584658369,0.28439862211503925,0.8556993230197304
raw_mocap,177,0.26849372107703406,0.8966478109359741,0.8902934789657593,0.05251817597273126,0.463726493945848,1.0037924497330668
cubic_spline,177,0.26849372107703406,0.8966478109359741,0.8902934789657593,0.060259487731603036,0.4344191035091321,0.9285334941969138
cpg_matsuoka,177,0.26849372107703406,0.8966478109359741,0.8902934789657593,0.028976008541979514,0.4013086049281633,1.4181080236002452
fft_mlp_review,534,1.3870564778645833,0.7341349720954895,0.7153636813163757,0.036500519630030995,0.36931188152078714,0.9051984660071172
fft_mlp,534,1.3870564778645833,0.7341349720954895,0.7153636813163757,0.008208336132224577,0.09696516896925932,0.297493702480535
fft_mlp_old,534,1.3870564778645833,0.7341349720954895,0.7153636813163757,0.005554199743953093,0.08474279318950939,0.25157271865613606
raw_mocap,534,1.3870564778645833,0.7341349720954895,0.7153636813163757,0.013918440586360091,0.13725207250800603,0.4510951339748314
