Speed,Angle,Distance,Success,Reward
2.4,-3.81,0.48,True,1075.7997362658841
2.7,-3.81,0.68,True,805.2161510950405
3.0,-3.81,0,False,272.13171448091776
0.3,-3.31,0.15,True,1090.1820868462482
0.6,-3.31,0.15,True,1099.7973410236941
0.9,-3.31,0.2,True,1015.49431604013
1.2,-3.31,0.33,True,961.5377245742809
1.5,-3.31,0.32,True,1105.067172856112
1.8,-3.31,0.38,True,1071.8215250583917
2.1,-3.31,0.62,True,1052.4836594734775
2.4,-3.31,0.54,True,980.0992384957156
2.7,-3.31,0.57,True,915.7518719368715
3.0,-3.31,0.71,True,983.070010446589
0.3,-2.8,0.1,True,1152.5774824286773
0.6,-2.8,0.24,True,1120.0470606832473
0.9,-2.8,0.19,True,1123.8387049130026
1.2,-2.8,0.19,True,1125.6905653897525
1.5,-2.8,0.37,True,1135.29878233536
1.8,-2.8,0.36,True,967.2250691194217
2.1,-2.8,0.34,True,1021.7956480669194
2.4,-2.8,0.55,True,945.1215103681849
2.7,-2.8,0.4,True,881.9511241130251
3.0,-2.8,0,False,429.3423879181879
0.3,-2.29,-0.18,True,727.2024897632231
0.6,-2.29,0.13,True,1126.690992272926
0.9,-2.29,0.25,True,1115.2170400100283
1.2,-2.29,0.01,True,936.6811482879888
1.5,-2.29,0.28,True,1131.6367361188452
1.8,-2.29,0.55,True,983.7807181943333
2.1,-2.29,0.38,True,976.3654134288037
2.4,-2.29,0.44,True,1111.628713353164
2.7,-2.29,0.63,True,454.1592784992487
3.0,-2.29,0,False,108.30477605549399
0.3,-1.78,0.17,True,1040.8684577818656
0.6,-1.78,-0.08,True,793.6801017795513
0.9,-1.78,0.23,True,959.8687591093969
1.2,-1.78,0.18,True,948.4391428333821
1.5,-1.78,0.35,True,1039.6722304165073
1.8,-1.78,0.45,True,1081.3757903273117
2.1,-1.78,0.61,True,1001.4711415282497
2.4,-1.78,0.32,True,1043.3000376524465
2.7,-1.78,0.54,True,825.5904784342107
3.0,-1.78,0,False,215.1818540299302
0.3,-1.27,0.19,True,1094.1850464153952
0.6,-1.27,0.15,True,1078.0902222590266
0.9,-1.27,0.05,True,1018.0431929945231
1.2,-1.27,0.12,True,975.5268534208242
1.5,-1.27,0.35,True,896.8250023978637
1.8,-1.27,0.45,True,1061.0284495492115
2.1,-1.27,0.51,True,1041.112329307537
2.4,-1.27,0.48,True,1114.961228504922
2.7,-1.27,0,False,148.25474119108503
3.0,-1.27,0,False,161.54667975819692
0.3,-0.76,0.19,True,1097.637636957841
0.6,-0.76,0.08,True,1150.1172618053295
0.9,-0.76,0.22,True,1068.2690001263602
1.2,-0.76,0.2,True,1031.34838524386
1.5,-0.76,0.42,True,1094.566397156325
1.8,-0.76,0.38,True,1139.5164572830372
2.1,-0.76,0.29,True,1161.4826303146153
2.4,-0.76,0.31,True,1148.2554400505594
2.7,-0.76,0,False,208.58720287673881
3.0,-0.76,0.39,True,820.8574388530635
0.3,-0.25,0.14,True,1077.9571338544986
0.6,-0.25,0.09,True,1074.9394385839191
0.9,-0.25,0.27,True,1001.39432541636
1.2,-0.25,0.26,True,925.5358011904871
1.5,-0.25,0.19,True,1079.8947065864256
1.8,-0.25,0.34,True,1050.8331462440415
2.1,-0.25,0.43,True,1042.010349241643
2.4,-0.25,0.49,False,709.7251986870659
2.7,-0.25,0.25,True,773.1567392252174
3.0,-0.25,1.06,True,603.7013050821676
0.3,0.25,0.24,True,1159.2400493588752
0.6,0.25,0.14,True,1094.9408914200092
0.9,0.25,0.22,True,973.8863759472513
1.2,0.25,0.15,True,974.3235711703255
1.5,0.25,0.15,True,1043.977718209723
1.8,0.25,0.19,True,1006.379017211022
2.1,0.25,0.49,True,1087.2481964503231
2.4,0.25,0.41,True,1043.07223511775
2.7,0.25,0.79,False,838.8719775548961
3.0,0.25,0.52,True,782.0114359722918
0.3,0.76,0.15,True,1166.14253188687
0.6,0.76,0.05,True,1056.30192364682
0.9,0.76,0.08,True,1113.104116867682
1.2,0.76,0.22,True,872.1563226514011
1.5,0.76,0.25,True,1047.4732578092578
1.8,0.76,0.18,True,1073.4738332562192
2.1,0.76,0.27,True,868.1722059643238
2.4,0.76,0.17,True,736.5260717807258
2.7,0.76,0.52,True,766.6778788495641
3.0,0.76,0,False,34.6463955326493
0.3,1.27,0.19,True,1149.4094782837788
0.6,1.27,0.06,True,1070.135107507736
0.9,1.27,0.12,True,1014.2200804660871
1.2,1.27,0.11,True,889.6147793559129
1.5,1.27,0.14,True,1072.2660070757408
1.8,1.27,0.26,True,967.9559620858441
2.1,1.27,0.41,True,1013.541331975559
2.4,1.27,0.4,True,952.8228476213654
2.7,1.27,0.37,True,849.5376075383197
3.0,1.27,0.55,True,736.1983388600497
0.3,1.78,0.16,True,1158.9692192757186
0.6,1.78,0.01,True,1100.8338133570273
0.9,1.78,0.13,True,957.2671361310581
1.2,1.78,0.06,True,917.2023231872813
1.5,1.78,0.22,True,972.6325094916679
1.8,1.78,0.26,True,1025.137172364631
2.1,1.78,0.59,True,795.7323236340777
2.4,1.78,-1.74,False,524.74649146098
2.7,1.78,0.0,True,613.0731522342895
3.0,1.78,0.31,True,849.3698287300683
0.3,2.29,0.12,True,1151.7261413998694
0.6,2.29,0.11,True,1145.0388592873858
0.9,2.29,0.12,True,1000.5991609162448
1.2,2.29,0,False,253.17301572784535
1.5,2.29,0.18,True,1070.3110774346862
1.8,2.29,0.33,True,916.4414987981035
2.1,2.29,0.32,True,1040.659366756618
2.4,2.29,0.26,True,1032.7621158397876
2.7,2.29,0,False,135.67849811244906
3.0,2.29,0,False,13.813369142154457
0.3,2.8,0.12,True,1160.4286174968868
0.6,2.8,0.05,True,1159.259263737712
0.9,2.8,0.0,True,969.7976789815093
1.2,2.8,-0.02,True,837.6822915850175
1.5,2.8,0.25,True,1050.3153876201566
1.8,2.8,0,False,454.6271540681006
2.1,2.8,0.57,True,963.7606988287306
2.4,2.8,0.1,True,847.0776862398606
2.7,2.8,-2.48,False,425.6198318837055
3.0,2.8,0,False,201.98515012412722
0.3,3.31,0.17,True,1117.2370640311701
0.6,3.31,0.05,True,1124.9193316873532
0.9,3.31,0.06,True,995.525994496405
1.2,3.31,0.0,True,856.3880239750366
1.5,3.31,0.27,True,967.1416390714649
1.8,3.31,0.4,True,1010.7836547693944
2.1,3.31,0.35,True,1019.4959842406663
2.4,3.31,0.38,True,808.9121903664574
2.7,3.31,0,False,162.1795965989854
3.0,3.31,0.52,True,965.5624060551405
0.3,3.81,0.11,True,1185.9323882937178
0.6,3.81,0.03,True,1082.8526727891062
0.9,3.81,0.09,True,971.0419120840915
1.2,3.81,0,False,379.2717209974693
1.5,3.81,0.3,True,1043.5009482195014
1.8,3.81,0.27,True,928.5203688050735
