Speed Value,Angle,Ground Noise,Mean Speed,Success,Reward
3.0,-16.0,0.0,0.6361431375137332,False,235.96358599116056
0.1,-15.0,0.0,0.5388542025102409,True,1393.554107367257
0.4625,-15.0,0.0,0.6716864405358547,True,1355.3952694955585
0.825,-15.0,0.0,0.46981378799548973,True,1310.9676273794212
1.1875,-15.0,0.0,0.11862180022203975,False,128.3389321227969
1.55,-15.0,0.0,0.5597272001927771,True,1827.8925429324752
1.9125,-15.0,0.0,1.341820508094313,True,1837.2765185662072
2.275,-15.0,0.0,0.7571388659415851,False,491.45524146598757
2.6375,-15.0,0.0,1.6805828499223423,False,1576.6269322204682
3.0,-15.0,0.0,0.42371365378070464,False,193.69173791006426
0.1,-14.0,0.0,0.43492198094034273,False,1066.5107470163855
0.4625,-14.0,0.0,0.5851703403863397,True,1269.8937523062964
0.825,-14.0,0.0,0.5018123169233694,True,1625.2723332226576
1.1875,-14.0,0.0,0.27736657115796587,False,282.39719371797
1.55,-14.0,0.0,1.1459301330368556,True,1874.9655787082106
1.9125,-14.0,0.0,0.6400240405916302,True,2120.8499257490316
2.275,-14.0,0.0,1.9843773526557407,True,1648.7571497078927
2.6375,-14.0,0.0,1.3767383743270531,True,1730.8110244222387
3.0,-14.0,0.0,1.4052489392850591,True,1494.122887587221
0.1,-13.0,0.0,0.2571483967207949,False,572.2050515155295
0.4625,-13.0,0.0,0.6739601458839666,True,1353.431037493215
0.825,-13.0,0.0,0.41283070747755046,True,1354.1076983093956
1.1875,-13.0,0.0,0.11593786985109515,False,151.89139285574328
1.55,-13.0,0.0,0.7227097988976132,False,736.7745204846273
1.9125,-13.0,0.0,1.036480726641681,True,1879.3458020074938
2.275,-13.0,0.0,0.7325963430105691,True,1978.8288059785862
2.6375,-13.0,0.0,1.759181646167726,True,1427.8843243116592
3.0,-13.0,0.0,1.165362606608696,False,844.1969468222366
0.1,-11.999999999999998,0.0,0.368488519323189,True,1176.1562129217932
0.4625,-11.999999999999998,0.0,0.4592932934928351,True,1073.4391707164193
0.825,-11.999999999999998,0.0,0.454679885601217,True,2047.424171871033
1.1875,-11.999999999999998,0.0,1.020856737398256,True,1503.8909069677088
1.55,-11.999999999999998,0.0,0.9100016903271133,True,1980.8537706827233
1.9125,-11.999999999999998,0.0,0.7996447395305835,True,2005.5331087947761
2.275,-11.999999999999998,0.0,1.7550710558318514,True,1582.4139584554748
2.6375,-11.999999999999998,0.0,0.3794421010042752,False,157.24249604211278
3.0,-11.999999999999998,0.0,0.6815398849024717,False,302.10383835014
0.1,-11.0,0.0,0.27379207418708323,False,888.2176287566163
0.4625,-11.0,0.0,0.2857031731297565,False,1049.4263867740415
0.825,-11.0,0.0,0.5042108401527081,True,2059.3128984580558
1.1875,-11.0,0.0,0.28671122827647766,False,353.6499503977795
1.55,-11.0,0.0,0.6609391084569706,True,2069.3694936352194
1.9125,-11.0,0.0,0.6460256663112616,False,562.1867864417463
2.275,-11.0,0.0,1.6879648843306634,True,1786.7089878184154
2.6375,-11.0,0.0,0.9488249074257716,True,1824.5779345676767
3.0,-11.0,0.0,0.5502893107854737,True,1605.0156100373085
0.1,-10.0,0.0,0.4346742337698252,True,1133.8756421781825
0.4625,-10.0,0.0,0.3679377069141624,False,721.2983786644029
0.825,-10.0,0.0,0.4034038360570844,True,2027.6491991634307
1.1875,-10.0,0.0,0.6614185382862019,False,951.2862738868679
1.55,-10.0,0.0,1.389704452203688,True,1850.3188705027412
1.9125,-10.0,0.0,0.8563835952358947,True,1995.7413698406804
2.275,-10.0,0.0,1.5830762973890586,True,1827.1210520122897
2.6375,-10.0,0.0,1.3098377360192164,True,1339.5033395258017
3.0,-10.0,0.0,0.5913613336414902,False,660.2374787227362
0.1,-9.000000000000002,0.0,0.1634254859947647,False,615.9490270181985
0.4625,-9.000000000000002,0.0,0.20496961814100573,False,409.6992601307189
0.825,-9.000000000000002,0.0,0.5150575372411104,True,2095.2884493022907
1.1875,-9.000000000000002,0.0,0.7573872868547784,True,1887.8295731837377
1.55,-9.000000000000002,0.0,0.8318867800266652,True,1884.011676530017
1.9125,-9.000000000000002,0.0,0.5518922161644297,True,1970.3257667603511
2.275,-9.000000000000002,0.0,1.080771882030717,True,1859.2264688394541
2.6375,-9.000000000000002,0.0,0.22085614570312492,True,1423.849138747788
3.0,-9.000000000000002,0.0,1.0294587851490542,False,875.9398338834358
0.1,-8.0,0.0,0.13361708642930087,False,289.5577293649995
0.4625,-8.0,0.0,0.19676511433850555,False,488.50301853337834
0.825,-8.0,0.0,0.34422925914362623,True,1702.7447996983526
1.1875,-8.0,0.0,0.7992643182611412,False,807.7187659268573
1.55,-8.0,0.0,1.4856637191369237,True,1877.867786023707
1.9125,-8.0,0.0,0.578688322906981,True,2037.0348038819907
2.275,-8.0,0.0,1.2602928440455332,True,1883.3067285194763
2.6375,-8.0,0.0,1.5297842563744108,True,1603.435791736321
3.0,-8.0,0.0,0.3776299218810204,False,107.74907485569366
0.1,-7.0,0.0,0.0966417733449926,False,218.35550527733625
0.4625,-7.0,0.0,0.2584379929227921,False,1051.6411465084957
0.825,-7.0,0.0,0.388390474312895,True,2019.282462248375
1.1875,-7.0,0.0,0.7279392615909722,True,1923.5226962014065
1.55,-7.0,0.0,0.7106411346346031,True,1934.7542461442888
1.9125,-7.0,0.0,0.6731791263334194,True,1990.5723088960874
2.275,-7.0,0.0,0.8503251404585326,False,675.2959795140835
2.6375,-7.0,0.0,0.4309955607251948,True,1824.112273137464
3.0,-7.0,0.0,0.43667144768552674,False,206.88074259988565
0.1,-5.999999999999999,0.0,0.13368550206190688,False,609.034962643248
0.4625,-5.999999999999999,0.0,0.12538613253629954,False,371.9704918117777
0.825,-5.999999999999999,0.0,0.4083385305290328,True,2083.9917251342717
1.1875,-5.999999999999999,0.0,0.8373786233235047,True,1981.2878113176048
