Speed Value,Angle,Ground Noise,Mean Speed,Success,Reward
2.6375,-14.0,0.0,0.009738376321045829,False,-30.62112477187219
3.0,-14.0,0.0,0.07847276241886683,False,-0.9996551511613134
0.1,-13.0,0.0,0.258445892528773,True,1688.9788550927528
0.4625,-13.0,0.0,0.22245187231927188,True,1749.9398632597392
0.825,-13.0,0.0,0.3251909099710447,True,1462.236169765491
1.1875,-13.0,0.0,0.9779541833791547,True,1507.4283504390962
1.55,-13.0,0.0,0.7810791138424615,True,1664.5255095880752
1.9125,-13.0,0.0,1.1555864735089938,True,1671.1672269781234
2.275,-13.0,0.0,1.2854596228441655,True,1523.9305568403101
2.6375,-13.0,0.0,0.06932571955446201,False,8.491964342290853
3.0,-13.0,0.0,1.3690886007068572,True,1401.353403826752
0.1,-11.999999999999998,0.0,0.20877103826893642,True,1870.9652511196016
0.4625,-11.999999999999998,0.0,0.27024903813754775,True,1793.7467433480847
0.825,-11.999999999999998,0.0,0.40034454778691736,True,1467.6901924708277
1.1875,-11.999999999999998,0.0,0.7107477192454235,True,1418.5844742276313
1.55,-11.999999999999998,0.0,0.49780543921374054,True,1781.499203946035
1.9125,-11.999999999999998,0.0,0.9370800076225272,True,1699.7368631010584
2.275,-11.999999999999998,0.0,0.7717620740048956,True,1699.6292982970529
2.6375,-11.999999999999998,0.0,1.245275170101651,False,699.361630697983
3.0,-11.999999999999998,0.0,1.3321121415771036,True,1134.749608452091
0.1,-11.0,0.0,0.23463118675302908,True,1638.740188643833
0.4625,-11.0,0.0,0.238803684819614,True,1702.8109020459767
0.825,-11.0,0.0,0.3238514650773688,True,1821.856898538244
1.1875,-11.0,0.0,0.3542479234460594,False,388.3756773703759
1.55,-11.0,0.0,0.6621934554679731,True,1781.8127895520065
1.9125,-11.0,0.0,0.5895185980396999,True,1706.6436812838606
2.275,-11.0,0.0,0.35131925139285547,False,162.6121796823919
2.6375,-11.0,0.0,0.7990681997352184,True,1632.2837983574866
3.0,-11.0,0.0,0.015423013575649253,False,-17.461400615560326
0.1,-10.0,0.0,0.20340486711370942,True,1807.2176271293745
0.4625,-10.0,0.0,0.29915613045945705,True,1657.2787666330892
0.825,-10.0,0.0,0.26682076882182004,True,1907.3515192165842
1.1875,-10.0,0.0,0.8068932606076216,True,1582.3050751790088
1.55,-10.0,0.0,0.0607883680755278,False,36.78223448113684
1.9125,-10.0,0.0,0.6221800455896305,True,1828.6405857090233
2.275,-10.0,0.0,0.6502066200230656,True,1767.7088029772356
2.6375,-10.0,0.0,0.052632703318117625,False,-15.107863983533978
3.0,-10.0,0.0,0.6929100385574685,False,464.587330036748
0.1,-9.000000000000002,0.0,0.18682339468842907,True,1907.4012433177254
0.4625,-9.000000000000002,0.0,0.25268957546782866,True,1734.9190991622577
0.825,-9.000000000000002,0.0,0.35349601529483066,True,1839.3998121369348
1.1875,-9.000000000000002,0.0,0.4895611074359474,True,1737.0610427733493
1.55,-9.000000000000002,0.0,0.46220413563789864,True,1854.4990822479908
1.9125,-9.000000000000002,0.0,0.4850225855954549,True,1851.6721557325961
2.275,-9.000000000000002,0.0,0.7744522800880264,True,1582.3911344251248
2.6375,-9.000000000000002,0.0,1.0595553626895313,True,1141.9660550834317
3.0,-9.000000000000002,0.0,1.136664102330688,True,1301.8042576774612
0.1,-8.0,0.0,0.18826108194133812,True,1814.256008902638
0.4625,-8.0,0.0,0.3529412286416037,True,1601.3572003957427
0.825,-8.0,0.0,0.23682796618462318,True,1961.3711996632317
1.1875,-8.0,0.0,1.2720406290816428,True,1253.3095674852175
1.55,-8.0,0.0,0.6091976351790545,True,1736.6568931186976
1.9125,-8.0,0.0,0.5510177100719518,True,1811.9698239832273
2.275,-8.0,0.0,0.3946465220119032,True,1875.2597448055176
2.6375,-8.0,0.0,0.7399132642198949,True,1692.4640897712231
3.0,-8.0,0.0,0.03898248862792454,False,-4.322466567474809
0.1,-7.0,0.0,0.21195604257180428,True,1930.4620398195764
0.4625,-7.0,0.0,0.24220758245704732,True,1568.3329182159346
0.825,-7.0,0.0,0.2957160910414069,True,1972.7967132909512
1.1875,-7.0,0.0,0.5455282076477498,True,1669.1161336763444
1.55,-7.0,0.0,0.6004046839189873,True,1807.9292033508893
1.9125,-7.0,0.0,0.6383923193802509,True,1783.3421935338024
2.275,-7.0,0.0,0.730426576793709,True,1757.9438440247093
2.6375,-7.0,0.0,0.6969656988506331,True,1761.359063444718
3.0,-7.0,0.0,0.03871277001039079,False,-1.05582304564944
0.1,-5.999999999999999,0.0,0.22264427145316912,True,1871.1647885382727
0.4625,-5.999999999999999,0.0,0.23261430666225724,True,1895.4399951821215
0.825,-5.999999999999999,0.0,0.26936414480319154,True,1967.86199066377
1.1875,-5.999999999999999,0.0,0.6219147216965487,True,1562.6568570190016
1.55,-5.999999999999999,0.0,0.7809321127171998,True,1657.1437985971156
1.9125,-5.999999999999999,0.0,0.8089221659373826,True,1657.306113610483
2.275,-5.999999999999999,0.0,0.45210044745390354,True,1909.7226983024868
2.6375,-5.999999999999999,0.0,0.8363827967067685,True,1625.1456945469529
3.0,-5.999999999999999,0.0,0.9973069407496897,True,980.1327721775502
0.1,-5.0,0.0,0.23115232605662558,True,1792.4766799610181
0.4625,-5.0,0.0,0.3074891915725871,True,1508.3335447098632
0.825,-5.0,0.0,0.2654830908501234,True,1927.016895967291
1.1875,-5.0,0.0,0.7734619570475266,True,1323.7625495196598
1.55,-5.0,0.0,0.49238940056026703,True,1802.392051566601
1.9125,-5.0,0.0,0.6476243007894894,True,1713.1546413055983
2.275,-5.0,0.0,0.856822315502184,True,1556.900502746584
2.6375,-5.0,0.0,0.450636624778762,True,1821.9251417934784
3.0,-5.0,0.0,0.27603762579777047,False,113.94995486711868
0.1,-4.0,0.0,0.19746737470759881,True,1926.8331562499573
0.4625,-4.0,0.0,0.23969686786512265,True,1808.4965625324692
0.825,-4.0,0.0,0.23186989089740143,True,2052.2650865177548
1.1875,-4.0,0.0,0.6879071112826293,True,1464.7544578270088
1.55,-4.0,0.0,0.7809475476739418,True,1631.7376983893412
1.9125,-4.0,0.0,0.5665820303517267,True,1849.6301595451882
2.275,-4.0,0.0,0.9918984623900755,True,1207.8429205108503
2.6375,-4.0,0.0,0.3211378006943276,False,135.91518831483344
3.0,-4.0,0.0,0.5073995241218577,False,316.145924860956
0.1,-2.9999999999999996,0.0,0.18313732142343384,True,2076.131229436047
0.4625,-2.9999999999999996,0.0,0.20222110430780763,True,1829.5827593013998
0.825,-2.9999999999999996,0.0,0.2276691878542131,True,2005.9312210999542
1.1875,-2.9999999999999996,0.0,0.966971128722489,True,1235.5794539959704
1.55,-2.9999999999999996,0.0,0.5160186534250332,True,1823.46660407737
1.9125,-2.9999999999999996,0.0,0.5086058046651579,True,1847.012397743858
2.275,-2.9999999999999996,0.0,0.7481708500580787,True,1476.0714958770347
2.6375,-2.9999999999999996,0.0,1.1433285981696082,True,935.2290510517464
3.0,-2.9999999999999996,0.0,0.21762161871578334,False,201.97011226497028
0.1,-2.0,0.0,0.20111893629690578,True,2184.2185150264218
0.4625,-2.0,0.0,0.34944155937193744,True,1391.8914579205766
0.825,-2.0,0.0,0.25530697734713814,True,2054.275812479064
1.1875,-2.0,0.0,0.35508129488368134,True,1839.7920512628525
1.55,-2.0,0.0,0.5608728646663981,True,1737.6074321977128
1.9125,-2.0,0.0,0.5543865714930976,True,1735.7454021717285
2.275,-2.0,0.0,0.5734147942631311,True,1712.357247179294
2.6375,-2.0,0.0,0.600603316175173,True,1371.7179931323203
3.0,-2.0,0.0,0.6210277313922873,True,1284.835187682218
0.1,-1.0,0.0,0.15566435010723165,True,1972.3025663839762
0.4625,-1.0,0.0,0.20411161209318326,True,1994.929010922059
0.825,-1.0,0.0,0.2453716123518806,True,2083.2904887967934
1.1875,-1.0,0.0,0.36147082158451993,True,1790.4587930662692
1.55,-1.0,0.0,0.4409904069004278,True,1837.575696686724
1.9125,-1.0,0.0,0.5095369241589985,True,1734.2358758952635
2.275,-1.0,0.0,0.5079335644409226,True,1621.747683525953
2.6375,-1.0,0.0,0.5843342542107601,True,1002.4908217628122
3.0,-1.0,0.0,0.14116411511264826,False,86.08778099781267
